,phrase,label,sentiment,subjectivity,language,count
EU,EU,ORG,0.05053763440860215,0.030465949820788527,de,93
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,-0.1076923076923077,0.05128205128205128,de,39
EU-Kommission,EU-Kommission,ORG,-0.007692307692307694,0.0,de,39
Uniper,Uniper,ORG,-0.13289473684210526,0.09210526315789473,de,38
DWD,DWD,ORG,-0.11904761904761903,0.09523809523809525,de,35
SPD,SPD,ORG,0.03428571428571429,0.14285714285714285,de,35
FOCUS,FOCUS,ORG,0.048437499999999994,0.09375,de,32
SPIEGEL,SPIEGEL,ORG,0.6999999999999996,0.0,de,31
E-Paper,E-Paper,ORG,0.6999999999999996,0.0,de,31
Bundestag,Bundestag,ORG,0.1388888888888889,0.05555555555555555,de,27
Grüne,Grüne,ORG,0.08958333333333335,0.16666666666666666,de,24
Bundesnetzagentur,Bundesnetzagentur,ORG,-0.12272727272727274,0.0,de,22
FDP,FDP,ORG,0.12416666666666668,0.225,de,20
Gazprom,Gazprom,ORG,0.005000000000000016,0.2,de,20
…,…,ORG,-0.10526315789473684,0.05263157894736842,de,19
Kommission,Kommission,ORG,0.12894736842105262,0.02631578947368421,de,19
WELT,WELT,ORG,0.46315789473684216,0.09999999999999999,de,19
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,-0.03214285714285714,0.03571428571428571,de,14
LNG,LNG,ORG,0.16153846153846152,0.0,de,13
Katar,Katar,ORG,0.0846153846153846,0.0,de,13
Gaspreisbremse,Gaspreisbremse,ORG,0.11666666666666665,0.2333333333333333,de,12
CDU,CDU,ORG,0.17499999999999996,0.03333333333333333,de,12
BASF,BASF,ORG,0.23333333333333334,0.0,de,10
OMV,OMV,ORG,-0.06999999999999999,0.0,de,10
russische Armee,russische Armee,ORG,-0.2,0.0,de,10
Nato,Nato,ORG,0.1,0.1,de,10
DEL,DEL,ORG,0.225,0.0,de,10
EU-Staaten,EU-Staaten,ORG,0.05500000000000001,0.2,de,10
RWE,RWE,ORG,0.3844444444444444,0.0,de,9
ÖVP,ÖVP,ORG,0.13333333333333333,0.0,de,9
Nord Stream 1,Nord Stream 1,ORG,-0.0875,0.0,de,8
Black Friday Woche,Black Friday Woche,ORG,0.23333333333333334,0.0,de,7
Senat,Senat,ORG,0.2642857142857143,0.0,de,7
Securing Energy for Europe,Securing Energy for Europe,ORG,0.0,0.0,de,7
Spanien,Spanien,ORG,-0.14285714285714285,0.0,de,7
WirtschaftsWoche Online,WirtschaftsWoche Online,ORG,0.7000000000000001,0.0,de,7
SPÖ,SPÖ,ORG,-0.09999999999999999,0.0,de,7
Ukraine,Ukraine,ORG,-0.7142857142857143,0.0,de,7
RT DE.,RT DE.,ORG,0.09285714285714287,0.07142857142857142,de,7
Pipeline Nord Stream 1,Pipeline Nord Stream 1,ORG,-0.09999999999999999,0.2857142857142857,de,7
CSU,CSU,ORG,0.19999999999999998,0.0,de,7
DER SPIEGEL.,DER SPIEGEL.,ORG,0.0,0.0,de,7
ntv.de,ntv.de,ORG,0.16666666666666666,0.0,de,6
Kölner Haie,Kölner Haie,ORG,0.39166666666666666,0.08333333333333333,de,6
Gazprom Germania,Gazprom Germania,ORG,0.2333333333333333,0.0,de,6
VNG,VNG,ORG,0.3499999999999999,0.0,de,6
ProSieben,ProSieben,ORG,0.2333333333333333,0.0,de,6
Internationale Energieagentur,Internationale Energieagentur,ORG,0.0,0.0,de,6
Eon,Eon,ORG,-0.5,0.0,de,6
Eiskanal,Eiskanal,ORG,0.0,0.0,de,6
Deutschland,Deutschland,ORG,-0.11666666666666665,0.16666666666666666,de,6
ukrainischen Streitkräfte,ukrainischen Streitkräfte,ORG,-0.06000000000000001,0.0,de,5
NATO-Außenminister,NATO-Außenminister,ORG,0.0,0.0,de,5
Energiepreisen,Energiepreisen,ORG,-0.36,0.0,de,5
"Foto: dpa)
Düsseldorf","Foto: dpa)
Düsseldorf",ORG,-0.27999999999999997,0.0,de,5
Russland,Russland,ORG,0.0,0.0,de,5
NATO,NATO,ORG,-0.13999999999999999,0.0,de,5
Gas-Abschlag,Gas-Abschlag,ORG,0.41999999999999993,0.2,de,5
Die Linke,Die Linke,ORG,-0.2666666666666667,0.0,de,5
Musk,Musk,ORG,-0.45999999999999996,0.0,de,5
HeizkostenBeim,HeizkostenBeim,ORG,0.0,0.0,de,5
Energie-Infrastruktur,Energie-Infrastruktur,ORG,-0.25,0.0,de,4
"Foto: Imago) 
","Foto: Imago) 
",ORG,0.0,0.0,de,4
Ukraine.,Ukraine.,ORG,0.0,0.0,de,4
E-Autos,E-Autos,ORG,-0.35,0.25,de,4
GIE,GIE,ORG,0.0,0.0,de,4
congstar,congstar,ORG,0.75,0.0,de,4
Ifo-Instituts,Ifo-Instituts,ORG,-0.35,0.0,de,4
Gasag,Gasag,ORG,0.13749999999999998,0.0,de,4
FC Bayern,FC Bayern,ORG,0.35,0.0,de,4
TIGAS,TIGAS,ORG,0.35,0.0,de,4
Berliner Morgenpost,Berliner Morgenpost,ORG,0.175,0.0,de-DE,4
SPIEGEL-Informationen,SPIEGEL-Informationen,ORG,0.05833333333333332,0.25,de,4
SPD-Vorsitzende,SPD-Vorsitzende,ORG,0.175,0.0,de,4
Japan,Japan,ORG,-0.07500000000000001,0.0,de,4
Europäische Kommission,Europäische Kommission,ORG,-0.175,0.0,de,4
Gas sparenGas,Gas sparenGas,ORG,1.0,0.0,de,4
SPD-Vorsitzenden,SPD-Vorsitzenden,ORG,0.7,0.0,de,4
Amazon,Amazon,ORG,0.175,0.0,de,4
HSV,HSV,ORG,0.037500000000000006,0.0,de,4
SPD-Chef Klingbeil,SPD-Chef Klingbeil,ORG,0.0,0.0,de,4
Bundesbank,Bundesbank,ORG,0.0,0.0,de,4
Europäischen Kommission,Europäischen Kommission,ORG,-0.5625,0.0,de,4
Bundeswirtschaftsministerium,Bundeswirtschaftsministerium,ORG,0.0,0.0,de,4
Gazprom.,Gazprom.,ORG,0.0,0.0,de,4
Deutsche Eishockey Liga,Deutsche Eishockey Liga,ORG,0.2125,0.0,de,4
Deutsche Umwelthilfe,Deutsche Umwelthilfe,ORG,-0.4625,0.0,de,4
Universität,Universität,ORG,0.3333333333333333,0.0,de,3
Ikea,Ikea,ORG,0.0,0.0,de,3
WM-Übertragung,WM-Übertragung,ORG,0.0,0.0,de,3
Nato-Eingreiftruppe,Nato-Eingreiftruppe,ORG,0.0,0.0,de,3
FC Köln,FC Köln,ORG,0.11666666666666665,0.0,de,3
NHL,NHL,ORG,0.0,0.0,de,3
Jobcentern,Jobcentern,ORG,0.0,0.0,de,3
EU-Ebene,EU-Ebene,ORG,0.0,0.0,de,3
EZB,EZB,ORG,-0.05000000000000001,0.0,de,3
Universität Münster,Universität Münster,ORG,-0.2333333333333333,0.0,de,3
Gericht!,Gericht!,ORG,-0.6999999999999998,0.0,de,3
Ukraine?,Ukraine?,ORG,0.0,0.0,de,3
Kampagne,Kampagne,ORG,0.0,0.0,de,3
Shell,Shell,ORG,0.0,0.0,de,3
Red Dead Online,Red Dead Online,ORG,0.5833333333333333,0.0,de,3
Deutschen Wetterdienst,Deutschen Wetterdienst,ORG,0.0,0.6666666666666666,de,3
"Foto: Getty Images) 
","Foto: Getty Images) 
",ORG,0.0,0.0,de,3
RTL,RTL,ORG,0.4666666666666666,0.0,de,3
EU-Parlament,EU-Parlament,ORG,0.0,0.6666666666666666,de,3
Costa Rica,Costa Rica,ORG,0.0,0.0,de,3
Erdgasspeicher,Erdgasspeicher,ORG,0.0,0.0,de,3
Grünen,Grünen,ORG,0.08333333333333333,0.16666666666666666,de,3
Tages- & Blitzangebote,Tages- & Blitzangebote,ORG,0.0,0.0,de,3
Kommunen,Kommunen,ORG,0.0,0.0,de,3
Senegal,Senegal,ORG,-0.4666666666666666,0.0,de,3
AKW,AKW,ORG,0.2333333333333333,0.0,de,3
Europäischen Gerichtshof,Europäischen Gerichtshof,ORG,-0.3333333333333333,0.0,de,3
Klimaschützer,Klimaschützer,ORG,-0.2333333333333333,0.0,de,3
Stadtwerke München,Stadtwerke München,ORG,-0.10000000000000002,0.0,de,3
TotalEnergies,TotalEnergies,ORG,0.0,0.0,de,3
Gewerkschaften,Gewerkschaften,ORG,0.4666666666666666,0.0,de,3
ukrainische Armee,ukrainische Armee,ORG,0.2333333333333333,0.0,de,3
Niedersachsens SPD-Ministerpräsident,Niedersachsens SPD-Ministerpräsident,ORG,0.0,0.0,de,3
Dezember-Abschläge,Dezember-Abschläge,ORG,0.0,0.0,de,3
Tado,Tado,ORG,0.7999999999999999,0.0,de,3
SWR,SWR,ORG,0.0,0.0,de,3
Ghostbusters: Spirits Unleashed,Ghostbusters: Spirits Unleashed,ORG,0.2333333333333333,0.0,de,3
Wärmebank,Wärmebank,ORG,0.0,0.0,de,3
Bundesnetzagentur.,Bundesnetzagentur.,ORG,-0.6166666666666667,0.0,de,3
Terminkontrakts TTF,Terminkontrakts TTF,ORG,0.0,0.0,de,3
Parlament,Parlament,ORG,0.2333333333333333,0.0,de,3
russische Militär,russische Militär,ORG,-0.2333333333333333,0.0,de,3
Unionsfraktionsvize,Unionsfraktionsvize,ORG,0.0,0.0,de,3
EU-Länder,EU-Länder,ORG,0.2333333333333333,0.0,de,3
Lidl,Lidl,ORG,0.6999999999999998,0.0,de,3
Bundesumweltamt,Bundesumweltamt,ORG,-0.9,0.0,de,3
SEFE,SEFE,ORG,0.2333333333333333,0.0,de,3
Micron,Micron,ORG,0.11666666666666665,0.16666666666666666,de,3
Bundesamtes für Bevölkerungsschutz und Katastrophenhilfe,Bundesamtes für Bevölkerungsschutz und Katastrophenhilfe,ORG,0.0,0.3333333333333333,de,3
BSG Chemie,BSG Chemie,ORG,0.0,0.0,de,3
Sa…,Sa…,ORG,0.0,0.0,de,3
Europäischen Union,Europäischen Union,ORG,-0.3333333333333333,0.0,de,3
Mercedes,Mercedes,ORG,0.0,0.6666666666666666,de,3
Die Grünen,Die Grünen,ORG,0.23333333333333328,0.0,de,3
Nicht-Bedürftige.,Nicht-Bedürftige.,ORG,0.0,0.0,de,2
Türkis-Grüne,Türkis-Grüne,ORG,0.0,0.0,de,2
Foto: Dirk Hoppe,Foto: Dirk Hoppe,ORG,0.0,0.0,de,2
Mannheim,Mannheim,ORG,0.7,0.0,de,2
Eintracht,Eintracht,ORG,0.0,0.0,de,2
Expertenkommission für Gas und Wärme,Expertenkommission für Gas und Wärme,ORG,0.25,0.0,de,2
Bosch,Bosch,ORG,0.0,0.0,de,2
Bundeskongress der Jusos,Bundeskongress der Jusos,ORG,0.0,0.5,de,2
Parteichefin,Parteichefin,ORG,0.0,0.5,de,2
FIFA,FIFA,ORG,-1.0,0.0,de,2
"Foto: dpa)
Berlin","Foto: dpa)
Berlin",ORG,0.0,0.0,de,2
Berliner Hertie School,Berliner Hertie School,ORG,0.0,0.0,de,2
EU-Gipfel.,EU-Gipfel.,ORG,0.0,0.0,de,2
"Handelsblatt) 
Düsseldorf","Handelsblatt) 
Düsseldorf",ORG,0.0,0.0,de,2
FDP-Chef,FDP-Chef,ORG,-0.5,0.0,de,2
Milliardenbeträge,Milliardenbeträge,ORG,0.0,0.0,de,2
NASA,NASA,ORG,0.0,0.0,de,2
Caritas Kärnten,Caritas Kärnten,ORG,0.0,0.0,de,2
THE,THE,ORG,0.0,0.0,de,2
US-Geheimdienstexperten,US-Geheimdienstexperten,ORG,0.0,0.0,de,2
Pipeline Nord Stream 2,Pipeline Nord Stream 2,ORG,0.0,0.0,de,2
Hotel- und Gaststättenverbandes.,Hotel- und Gaststättenverbandes.,ORG,0.0,0.0,de,2
EU-Spitzen,EU-Spitzen,ORG,0.0,0.0,de,2
DIHK,DIHK,ORG,0.0,0.0,de,2
Europäische Union,Europäische Union,ORG,0.5,0.0,de,2
BASF.,BASF.,ORG,0.0,0.0,de,2
Schweizer Alpen,Schweizer Alpen,ORG,0.0,0.0,de,2
Deutsche Bank,Deutsche Bank,ORG,-0.3333333333333333,0.0,de,2
Mercedes-Benz,Mercedes-Benz,ORG,-0.3333333333333333,0.0,de,2
Bundeswehr,Bundeswehr,ORG,-0.35,0.0,de,2
EU-Energieminister,EU-Energieminister,ORG,-0.15000000000000002,0.0,de,2
Meinungsforschungsinstituts YouGov,Meinungsforschungsinstituts YouGov,ORG,0.0,0.0,de,2
… Berlin,… Berlin,ORG,0.35,0.0,de,2
deutschen Fußball-Nationalmannschaft.,deutschen Fußball-Nationalmannschaft.,ORG,0.0,0.0,de,2
Bund-Länder-Gipfel,Bund-Länder-Gipfel,ORG,0.0,0.5,de,2
N26 Bank,N26 Bank,ORG,0.0,0.0,de,2
Lithium:,Lithium:,ORG,-0.15000000000000002,0.0,de,2
Media Markt,Media Markt,ORG,0.0,0.0,de,2
Camp Century,Camp Century,ORG,-0.35,0.0,de,2
Energiekrise: Linke,Energiekrise: Linke,ORG,-1.0,0.0,de,2
Wintershall Dea,Wintershall Dea,ORG,0.35,0.0,de,2
Totalenergies,Totalenergies,ORG,0.0,0.0,de,2
Bundes…,Bundes…,ORG,0.0,0.0,de,2
Internationalen Energieagentur,Internationalen Energieagentur,ORG,0.0,0.0,de,2
Energiepreiskrise,Energiepreiskrise,ORG,0.0,0.0,de,2
Borussia Mönchengladbach,Borussia Mönchengladbach,ORG,0.0,0.0,de,2
The Weather Channel |,The Weather Channel |,ORG,0.0,0.0,de-DE,2
Berliner Bäder-Betriebe,Berliner Bäder-Betriebe,ORG,0.0,0.0,de,2
Kabinett,Kabinett,ORG,0.0,0.0,de,2
Teilverantwortung,Teilverantwortung,ORG,0.0,0.0,de,2
t3n.de,t3n.de,ORG,0.0,0.0,de,2
WM-Bühne,WM-Bühne,ORG,0.7,0.0,de,2
Senegals Aliou Cissé,Senegals Aliou Cissé,ORG,0.7,0.0,de,2
Gazprom Germania.,Gazprom Germania.,ORG,0.0,0.0,de,2
Dezember-Abschlag,Dezember-Abschlag,ORG,0.85,0.0,de,2
Schlittschuhfahrer,Schlittschuhfahrer,ORG,-0.7,0.0,de,2
Bundeskanzleramt,Bundeskanzleramt,ORG,0.175,0.25,de,2
Widodo,Widodo,ORG,0.0,0.0,de,2
TV-Meteorologen,TV-Meteorologen,ORG,0.0,0.0,de,2
Gasprom,Gasprom,ORG,-0.5,0.0,de,2
NFL.,NFL.,ORG,0.0,0.0,de,2
SZ-Interview,SZ-Interview,ORG,-0.825,0.0,de,2
SV Werder Bremen,SV Werder Bremen,ORG,-0.7,0.0,de,2
RKI,RKI,ORG,0.0,0.0,de,2
AKW Saporischschja,AKW Saporischschja,ORG,0.35,0.0,de,2
TTF,TTF,ORG,-0.35,0.0,de,2
Berliner Gasag,Berliner Gasag,ORG,0.0,0.0,de,2
Sound-Technologie,Sound-Technologie,ORG,0.7,0.0,de,2
Weltklimakonferenz: Baerbock: COP27,Weltklimakonferenz: Baerbock: COP27,ORG,0.0,0.0,de,2
Hertha,Hertha,ORG,0.0,0.0,de,2
Fake-Accounts.,Fake-Accounts.,ORG,0.0,0.0,de,2
EU-Parlamentarier,EU-Parlamentarier,ORG,0.0,0.5,de,2
Soziale Medien: Twitter-Häkchen,Soziale Medien: Twitter-Häkchen,ORG,-0.15000000000000002,0.0,de,2
Caritas,Caritas,ORG,-0.35,0.0,de,2
Deutschen zum Energiesparen.,Deutschen zum Energiesparen.,ORG,0.0,0.0,de,2
Deutsche Wett…,Deutsche Wett…,ORG,0.0,0.0,de,2
DW-Reporter,DW-Reporter,ORG,0.0,0.0,de,2
Kommission für einen Gaspreisdeckel,Kommission für einen Gaspreisdeckel,ORG,0.0,0.0,de,2
Siemens,Siemens,ORG,0.425,0.0,de,2
WM-Kolumne,WM-Kolumne,ORG,-0.35,0.0,de,2
Katarstimmung“:,Katarstimmung“:,ORG,-0.425,0.0,de,2
Wintershall-Chef: Mehren: Gasversorgung,Wintershall-Chef: Mehren: Gasversorgung,ORG,0.0,0.0,de,2
WISO Steuer,WISO Steuer,ORG,0.0,0.0,de,2
Pitaka Cases,Pitaka Cases,ORG,0.0,0.0,de,2
IMK,IMK,ORG,-0.07500000000000001,0.0,de,2
THW,THW,ORG,0.35,0.0,de,2
Gaztransport &amp,Gaztransport &amp,ORG,0.0,0.0,de,2
Kältetanks für LNG-Schiffe.,Kältetanks für LNG-Schiffe.,ORG,0.0,0.0,de,2
DWD…,DWD…,ORG,0.0,0.0,de,2
Gletschermumie Ötzi,Gletschermumie Ötzi,ORG,0.0,0.0,de,2
EHC München,EHC München,ORG,0.0,0.0,de,2
Berlin,Berlin,ORG,0.0,0.0,de,2
Straubing Tigers,Straubing Tigers,ORG,0.0,0.0,de,2
Erdgas-Händler,Erdgas-Händler,ORG,0.35,0.0,de,2
Europäischen Küsten,Europäischen Küsten,ORG,0.7,0.0,de,2
Blackstone Industrial Holdings,Blackstone Industrial Holdings,ORG,0.35,0.0,de,2
Netzagenturpräsident,Netzagenturpräsident,ORG,0.0,0.0,de,2
Ausspeichern,Ausspeichern,ORG,0.0,0.0,de,2
Microsofts,Microsofts,ORG,0.0,0.0,de,2
Xbox-Team,Xbox-Team,ORG,0.0,0.0,de,2
Deutschen Presse-Agentur,Deutschen Presse-Agentur,ORG,0.0,0.0,de,2
Verband GIE,Verband GIE,ORG,1.0,0.0,de,2
Bachmut,Bachmut,ORG,0.35,0.0,de,2
VSV,VSV,ORG,0.0,0.0,de,2
KAC,KAC,ORG,0.0,0.0,de,2
Strom-Schock...,Strom-Schock...,ORG,0.0,0.0,de,2
Brüssel/Bonn,Brüssel/Bonn,ORG,0.0,0.0,de,2
russischen Streitkräfte,russischen Streitkräfte,ORG,-0.5,0.0,de,2
Bündnisses übe…,Bündnisses übe…,ORG,0.0,0.0,de,2
DZ Bank,DZ Bank,ORG,0.0,0.0,de,2
Bayerischen Tourismustag,Bayerischen Tourismustag,ORG,0.0,0.0,de,2
"Foto: dpa) 
","Foto: dpa) 
",ORG,0.0,0.0,de,2
Milliardengewinn,Milliardengewinn,ORG,0.73,0.0,de,2
Klimakonferenz?,Klimakonferenz?,ORG,0.0,0.0,de,2
Repräsentantenhaus,Repräsentantenhaus,ORG,-0.35,0.0,de,2
VfL Wolfsburg,VfL Wolfsburg,ORG,0.0,0.0,de,2
Bundesliga: Wolfsburgs,Bundesliga: Wolfsburgs,ORG,0.0,0.0,de,2
Deutsche Wette…,Deutsche Wette…,ORG,-0.175,0.0,de,2
F…,F…,ORG,0.0,0.0,de,2
Bibliothek der,Bibliothek der,ORG,0.0,0.0,de,2
Qatar Energy,Qatar Energy,ORG,0.0,0.0,de,2
PIK,PIK,ORG,0.0,0.0,de,2
"Schweiz, International, Sport, Digital, Wirtschaft, Auto &","Schweiz, International, Sport, Digital, Wirtschaft, Auto &",ORG,0.0,0.5,de,2
NZZ,NZZ,ORG,0.0,0.5,de,2
KURZMELDUNGEN,KURZMELDUNGEN,ORG,0.0,0.0,de,2
fix,fix,ORG,0.0,0.0,de,2
EHW+,EHW+,ORG,0.7,0.0,de,2
Stadtwerken!,Stadtwerken!,ORG,-0.5,0.0,de,2
SV Drochtersen/Assel,SV Drochtersen/Assel,ORG,0.0,0.0,de,2
Konzernchef Brudermüller,Konzernchef Brudermüller,ORG,-0.35,0.0,de,2
Potsdam-Institut für Klimafolgenforschung,Potsdam-Institut für Klimafolgenforschung,ORG,0.0,0.0,de,2
Vattenfall,Vattenfall,ORG,0.0,0.0,de,2
Rot-Grün,Rot-Grün,ORG,0.7,0.0,de,2
Potsdam-Institut für Klimafolgenforschung.,Potsdam-Institut für Klimafolgenforschung.,ORG,0.0,0.0,de,2
Ostsee-Gaspipelines,Ostsee-Gaspipelines,ORG,0.0,0.0,de,2
Bundesanwaltschaft.,Bundesanwaltschaft.,ORG,0.0,0.0,de,2
"EU-Kommission, Atomkraft und Gas","EU-Kommission, Atomkraft und Gas",ORG,0.0,0.0,de,2
SPD-Chef,SPD-Chef,ORG,0.0,0.0,de,2
EnBW,EnBW,ORG,0.35,0.0,de,2
wÃ¤chst,wÃ¤chst,ORG,-0.7,0.0,de,2
Bah!,Bah!,ORG,0.0,0.0,de,2
Foto: imago,Foto: imago,ORG,0.5,0.0,de,2
Druschba-Ölpipeline in Polen,Druschba-Ölpipeline in Polen,ORG,0.0,0.0,de,2
Gaspreisbremse:,Gaspreisbremse:,ORG,0.0,0.0,de,2
FAZ,FAZ,ORG,0.0,0.0,de,2
EU-Minister,EU-Minister,ORG,0.0,0.0,de,2
Bundesamtes für Seeschifffahrt und Hydrographie,Bundesamtes für Seeschifffahrt und Hydrographie,ORG,0.0,0.0,de,2
Bundesamt für Seeschifffahrt:,Bundesamt für Seeschifffahrt:,ORG,0.0,0.0,de,2
Verband am Mittwoch,Verband am Mittwoch,ORG,-1.0,0.0,de,2
Landesfeuerwehrverband Schleswig-Holstein,Landesfeuerwehrverband Schleswig-Holstein,ORG,-0.41666666666666663,0.0,de,2
"Heizöl, Pellets","Heizöl, Pellets",ORG,0.35,0.25,de,2
Foto: AP,Foto: AP,ORG,0.0,0.0,de,2
Gutes,Gutes,ORG,0.0,0.0,de,2
Rohrschaden,Rohrschaden,ORG,0.11666666666666665,0.0,de,2
Solihull,Solihull,ORG,0.0,0.0,de,2
Rohstoff-Importen,Rohstoff-Importen,ORG,-1.0,0.0,de,2
E-Control,E-Control,ORG,0.0,0.0,de,2
