,Mensch,Zeit,Temperatur,Witterung,Wasser,Energie
2022-02-01,0,0,0,0,0,1
2022-02-02,0,0,0,0,0,1
2022-02-21,0,0,0,0,0,1
2022-03-09,0,0,0,0,0,1
2022-03-12,0,0,0,0,0,1
2022-03-17,0,0,0,0,0,1
2022-03-23,0,0,0,0,0,1
2022-05-05,0,0,0,0,0,1
2022-05-11,0,0,0,0,0,1
2022-05-21,0,0,0,0,0,1
2022-05-25,0,0,0,0,0,1
2022-05-27,0,0,0,0,0,1
2022-06-15,0,0,0,0,0,2
2022-06-17,0,0,0,0,0,1
2022-06-19,0,0,0,0,0,1
2022-06-24,0,0,0,0,0,1
2022-06-28,0,0,0,0,0,1
2022-06-29,0,0,0,0,0,2
2022-07-01,0,0,0,0,0,1
2022-07-03,0,0,1,0,0,0
2022-07-04,0,0,0,0,0,2
2022-07-07,0,0,0,0,0,1
2022-07-08,0,0,0,0,0,4
2022-07-09,0,0,0,0,0,1
2022-07-10,0,0,0,0,0,2
2022-07-12,0,1,0,0,0,4
2022-07-13,0,0,0,0,0,4
2022-07-14,0,0,0,0,0,2
2022-07-15,0,1,0,0,0,1
2022-07-18,0,1,0,0,0,2
2022-07-19,0,2,0,0,0,3
2022-07-21,0,0,0,0,0,2
2022-07-22,0,0,0,0,0,1
2022-07-25,0,1,0,0,0,3
2022-07-26,0,0,0,0,0,1
2022-07-27,0,0,0,0,0,1
2022-07-28,0,1,0,0,0,2
2022-07-29,0,0,0,0,0,1
2022-07-31,0,1,0,0,0,1
2022-08-01,0,0,0,0,0,1
2022-08-03,0,0,0,0,0,1
2022-08-04,0,0,0,0,0,1
2022-08-05,0,0,0,0,0,1
2022-08-07,0,0,0,0,0,1
2022-08-10,0,1,0,0,0,2
2022-08-14,0,1,0,0,0,2
2022-08-18,0,0,0,0,0,1
2022-08-22,0,0,0,0,0,1
2022-08-24,0,0,0,0,0,2
2022-08-27,0,1,0,0,0,1
2022-08-29,0,0,0,0,0,1
2022-08-31,0,1,0,0,0,1
2022-09-01,0,0,0,0,0,1
2022-09-02,0,0,0,0,0,1
2022-09-05,0,1,0,0,0,3
2022-09-07,0,1,0,0,0,0
2022-09-09,0,0,0,0,0,1
2022-09-15,0,0,0,0,0,2
2022-09-19,0,2,1,0,0,2
2022-09-20,0,1,0,0,0,3
2022-09-21,0,0,0,0,0,1
2022-09-22,0,0,0,0,0,1
2022-09-23,0,1,0,0,0,1
2022-09-25,0,1,0,0,0,5
2022-09-26,0,0,0,0,0,6
2022-09-27,0,0,0,0,0,12
2022-09-28,0,2,0,0,0,9
2022-09-29,0,3,0,0,0,16
2022-09-30,0,6,0,0,0,14
2022-10-01,0,1,0,0,0,5
2022-10-02,0,0,0,0,0,10
2022-10-03,0,2,0,0,0,5
2022-10-04,0,3,0,0,0,6
2022-10-05,0,2,0,0,0,11
2022-10-06,0,2,0,0,0,11
2022-10-07,1,4,0,0,0,24
2022-10-08,0,1,0,0,0,3
2022-10-09,0,2,2,0,0,3
2022-10-10,0,5,0,0,0,33
2022-10-11,1,3,3,1,0,17
2022-10-12,0,4,0,0,1,19
2022-10-13,0,5,0,0,0,30
2022-10-14,0,5,0,1,1,13
2022-10-15,0,2,0,0,0,5
2022-10-16,0,4,0,0,0,6
2022-10-17,0,4,0,0,0,12
2022-10-18,0,8,0,0,0,25
2022-10-19,0,7,2,0,0,29
2022-10-20,0,13,0,0,0,34
2022-10-21,0,7,1,0,0,36
2022-10-22,0,3,0,0,1,13
2022-10-23,0,4,0,0,0,8
2022-10-24,0,7,0,1,2,13
2022-10-25,0,13,0,0,3,29
2022-10-26,0,2,0,0,0,23
2022-10-27,1,4,0,0,4,26
2022-10-28,0,6,1,0,1,7
2022-10-29,0,11,2,1,1,6
2022-10-30,0,2,0,0,0,8
2022-10-31,0,6,0,0,1,28
2022-11-01,0,2,0,1,2,22
2022-11-02,0,7,0,0,0,22
2022-11-03,0,7,1,0,9,18
2022-11-04,0,6,1,0,2,17
2022-11-05,0,11,2,0,7,12
2022-11-06,0,4,0,1,5,14
2022-11-07,0,14,3,1,6,22
2022-11-08,1,12,0,0,1,21
2022-11-09,1,9,1,1,0,15
2022-11-10,1,6,0,1,2,27
2022-11-11,1,2,2,2,2,16
2022-11-12,0,3,0,1,1,6
2022-11-13,0,1,0,0,0,7
2022-11-14,0,7,1,0,3,28
2022-11-15,2,6,0,1,4,16
2022-11-16,0,8,0,0,5,21
2022-11-17,1,8,2,2,5,15
2022-11-18,1,21,7,3,15,21
2022-11-19,0,14,1,3,9,7
2022-11-20,0,7,0,1,5,8
2022-11-21,6,16,2,3,6,13
2022-11-22,0,6,2,0,8,12
2022-11-23,0,18,2,2,7,9
2022-11-24,2,19,8,3,4,25
2022-11-25,1,16,6,2,7,11
2022-11-26,0,4,1,3,9,3
2022-11-27,0,14,9,5,15,1
2022-11-28,0,12,1,0,5,15
2022-11-29,1,7,6,2,10,15
2022-11-30,0,7,1,0,2,1
2022-12-01,0,13,2,1,10,19
2022-12-02,1,20,2,4,17,10
2022-12-03,0,12,3,2,10,18
2022-12-04,2,13,3,4,9,7
2022-12-05,0,13,1,5,11,7
2022-12-06,0,11,6,2,5,11
2022-12-07,0,3,0,0,3,2
2022-12-08,1,8,0,5,5,4
2022-12-09,0,7,3,4,7,3
2022-12-10,1,10,2,5,5,5
2022-12-11,0,14,1,11,25,3
2022-12-12,0,14,7,6,13,15
2022-12-13,0,12,3,4,11,10
2022-12-14,0,12,4,3,16,7
2022-12-15,0,9,3,1,7,8
2022-12-16,0,11,2,1,6,3
2022-12-17,0,2,2,0,1,3
2022-12-18,0,4,1,1,5,1
2022-12-19,0,3,1,10,12,14
2022-12-20,0,9,1,5,6,5
2022-12-21,0,4,1,1,0,7
2022-12-22,0,4,3,3,2,4
2022-12-23,0,6,3,0,4,4
2022-12-24,1,17,7,0,7,4
2022-12-25,0,10,4,0,12,1
2022-12-26,1,9,12,1,13,1
2022-12-27,0,2,1,0,1,0
2022-12-28,1,8,6,0,7,2
2022-12-29,1,4,0,0,4,7
2022-12-30,0,1,0,0,2,3
2022-12-31,0,1,0,0,1,1
2023-01-01,0,3,2,0,0,2
2023-01-02,0,6,1,1,3,0
2023-01-03,0,0,2,0,0,0
